DATE,DATE_FOR_TIME,TIME,LIC_TYPE,COUNT,MAX_COUNT,ALLOWED
16-APR-17,16-APR-17,11.00.00 PM,4,3,3,3
17-APR-17,17-APR-17,10.00.16 PM,1,34,60,60
17-APR-17,17-APR-17,10.00.16 PM,2,11,16,16
17-APR-17,17-APR-17,10.00.16 PM,4,4,5,5
18-APR-17,18-APR-17,11.30.00 PM,1,55,60,139
18-APR-17,18-APR-17,11.30.00 PM,2,20,22,34
18-APR-17,18-APR-17,11.30.00 PM,4,6,8,8
19-APR-17,19-APR-17,11.30.00 PM,1,56,66,65
19-APR-17,19-APR-17,11.30.00 PM,2,17,21,25
19-APR-17,19-APR-17,11.30.00 PM,4,9,9,9
20-APR-17,20-APR-17,11.30.00 PM,1,55,73,75
20-APR-17,20-APR-17,11.30.00 PM,2,17,22,24
20-APR-17,20-APR-17,11.30.00 PM,4,6,8,9
21-APR-17,21-APR-17,11.30.02 PM,1,37,68,68
21-APR-17,21-APR-17,11.30.02 PM,2,13,21,21
21-APR-17,21-APR-17,11.30.02 PM,4,3,7,7
22-APR-17,22-APR-17,11.30.00 PM,1,39,39,40
22-APR-17,22-APR-17,11.30.00 PM,2,12,14,14
22-APR-17,22-APR-17,11.30.00 PM,4,2,3,3
23-APR-17,23-APR-17,11.30.00 PM,1,58,58,57
23-APR-17,23-APR-17,11.30.00 PM,2,15,15,15
23-APR-17,23-APR-17,11.30.00 PM,4,6,6,5
24-APR-17,24-APR-17,11.30.00 PM,1,51,75,74
24-APR-17,24-APR-17,11.30.00 PM,2,12,17,17
24-APR-17,24-APR-17,11.30.00 PM,4,11,11,9
25-APR-17,25-APR-17,11.30.00 PM,1,43,67,68
25-APR-17,25-APR-17,11.30.00 PM,2,15,17,17
25-APR-17,25-APR-17,11.30.00 PM,4,5,11,11
26-APR-17,26-APR-17,11.30.00 PM,1,58,59,60
26-APR-17,26-APR-17,11.30.00 PM,2,18,18,15
26-APR-17,26-APR-17,11.30.00 PM,4,7,7,6
27-APR-17,27-APR-17,11.30.00 PM,1,46,69,69
27-APR-17,27-APR-17,11.30.00 PM,2,20,21,18
27-APR-17,27-APR-17,11.30.00 PM,4,4,6,4
28-APR-17,28-APR-17,11.30.00 PM,1,27,69,69
28-APR-17,28-APR-17,11.30.00 PM,2,12,18,20
28-APR-17,28-APR-17,11.30.00 PM,4,1,6,6
29-APR-17,29-APR-17,11.30.00 PM,1,28,28,27
29-APR-17,29-APR-17,11.30.00 PM,2,10,11,12
29-APR-17,29-APR-17,11.30.00 PM,4,0,1,1
30-APR-17,30-APR-17,11.30.00 PM,1,25,36,36
30-APR-17,30-APR-17,11.30.00 PM,2,10,11,11
30-APR-17,30-APR-17,11.30.00 PM,4,0,0,0
01-MAY-17,01-MAY-17,11.30.00 PM,1,44,44,43
01-MAY-17,01-MAY-17,11.30.00 PM,2,18,18,16
01-MAY-17,01-MAY-17,11.30.00 PM,4,6,6,5
02-MAY-17,02-MAY-17,11.30.09 PM,1,49,49,100
02-MAY-17,02-MAY-17,11.30.09 PM,2,17,17,100
02-MAY-17,02-MAY-17,11.30.09 PM,4,4,5,100
03-MAY-17,03-MAY-17,11.30.01 PM,1,52,59,100
03-MAY-17,03-MAY-17,11.30.01 PM,2,24,26,100
03-MAY-17,03-MAY-17,11.30.01 PM,4,3,6,100
04-MAY-17,04-MAY-17,11.30.00 PM,1,51,59,100
04-MAY-17,04-MAY-17,11.30.00 PM,2,18,23,100
04-MAY-17,04-MAY-17,11.30.00 PM,4,6,7,100
05-MAY-17,05-MAY-17,11.30.09 PM,1,39,49,100
05-MAY-17,05-MAY-17,11.30.09 PM,2,11,18,100
05-MAY-17,05-MAY-17,11.30.09 PM,4,3,7,100
06-MAY-17,06-MAY-17,11.30.09 PM,1,32,39,100
06-MAY-17,06-MAY-17,11.30.09 PM,2,10,11,100
06-MAY-17,06-MAY-17,11.30.09 PM,4,1,3,100
07-MAY-17,07-MAY-17,11.30.07 PM,1,64,64,100
07-MAY-17,07-MAY-17,11.30.07 PM,2,23,23,100
